Index,Deci,Demod
"0.0","176.0","16.0"
"1.0","800.0","33.0"
"2.0","1264.0","25.0"
"3.0","1504.0","37.0"
"4.0","1488.0","64.0"
"5.0","1232.0","75.0"
"6.0","720.0","61.0"
"7.0","112.0","34.0"
"8.0","-640.0","9.0"
"9.0","-1392.0","9.0"
"10.0","-2032.0","45.0"
"11.0","-2448.0","110.0"
"12.0","-2640.0","183.0"
"13.0","-2576.0","235.0"
"14.0","-2288.0","247.0"
"15.0","-1792.0","217.0"
"16.0","-1152.0","155.0"
"17.0","-448.0","85.0"
"18.0","224.0","30.0"
"19.0","832.0","5.0"
"20.0","1280.0","12.0"
"21.0","1520.0","39.0"
"22.0","1488.0","65.0"
"23.0","1200.0","75.0"
"24.0","704.0","61.0"
"25.0","64.0","32.0"
"26.0","-720.0","8.0"
"27.0","-1392.0","11.0"
"28.0","-2032.0","46.0"
"29.0","-2448.0","113.0"
"30.0","-2624.0","182.0"
"31.0","-2560.0","234.0"
"32.0","-2256.0","244.0"
"33.0","-1744.0","212.0"
"34.0","-1120.0","150.0"
"35.0","-432.0","81.0"
"36.0","256.0","28.0"
"37.0","848.0","5.0"
"38.0","1296.0","13.0"
"39.0","1520.0","40.0"
"40.0","1488.0","66.0"
"41.0","1184.0","75.0"
"42.0","672.0","59.0"
"43.0","32.0","31.0"
"44.0","-736.0","7.0"
"45.0","-384.0","3.0"
"46.0","1216.0","-6.0"
"47.0","1408.0","23.0"
"48.0","80.0","2.0"
"49.0","-1712.0","14.0"
"50.0","-2640.0","52.0"
"51.0","-2032.0","100.0"
"52.0","-224.0","103.0"
"53.0","1296.0","63.0"
"54.0","1328.0","18.0"
"55.0","-96.0","1.0"
"56.0","-1856.0","16.0"
"57.0","-2656.0","57.0"
"58.0","-1888.0","103.0"
"59.0","-48.0","100.0"
"60.0","1376.0","58.0"
"61.0","1248.0","15.0"
"62.0","-272.0","2.0"
"63.0","-1984.0","19.0"
"64.0","-2640.0","61.0"
"65.0","-1728.0","105.0"
"66.0","144.0","96.0"
"67.0","1440.0","53.0"
"68.0","1168.0","13.0"
"69.0","-432.0","3.0"
"70.0","-2080.0","22.0"
"71.0","-2608.0","64.0"
"72.0","-1568.0","105.0"
"73.0","336.0","90.0"
"74.0","1488.0","48.0"
"75.0","1056.0","10.0"
"76.0","-592.0","4.0"
"77.0","-2192.0","25.0"
"78.0","-2576.0","69.0"
"79.0","-1424.0","106.0"
"80.0","448.0","89.0"
"81.0","1504.0","44.0"
"82.0","928.0","8.0"
"83.0","-800.0","3.0"
"84.0","-2304.0","29.0"
"85.0","-2544.0","75.0"
"86.0","-1184.0","106.0"
"87.0","640.0","85.0"
"88.0","1520.0","38.0"
"89.0","816.0","7.0"
"90.0","368.0","26.0"
"91.0","912.0","32.0"
"92.0","1344.0","30.0"
"93.0","1536.0","45.0"
